Ticks,houses_avg_endoftick,houses_at_setup,links_avg,links_med,links_max,links_min,buyout_ratio_avg,buyout_ratio_med,buyout_ratio_max,buyout_ratio_min,successes_avg,fail_rate,pct_houses_bought,buyout_roc
0,527.2553191489362,540,85.1063829787234,85,94,80,0.9923076276595745,0.938823,1.259819,0.858492,13.25531914893617,0,0.9763987391646967,0.997776083327142
1,503.35353535353534,540,76.48484848484848,76,82,72,0.9901008181818182,0.951077,1.405165,0.856221,37.14141414141414,0.010101010101010055,0.932136176580621,1.031205248244233
2,478.5,540,69.3,69,75,62,1.02099716,0.985303,1.402051,0.848641,62,0,0.8861111111111111,1.0179458089775686
3,453.5,540,58.72,59,66,53,1.03931978,0.9807035,1.50886,0.844003,87,0,0.8398148148148148,0.9706516105825935
4,428.765306122449,540,51.265306122448976,51,55,48,1.0088174183673468,0.966874,1.608198,0.854745,111.72448979591837,0.010204081632653073,0.7940098261526833,1.029656254973794
5,405.2371134020619,540,47.11340206185567,47,52,41,1.0387351649484535,0.964896,1.490877,0.84711,135.24742268041237,0.04123711340206182,0.7504390988927072,0.9906624556645238
6,381.1515151515151,540,41.878787878787875,41,47,38,1.0290359292929292,0.99314499999999994,1.521484,0.856813,159.34343434343435,0.010101010101010055,0.7058361391694724,1.0105406954915492
7,356.98979591836735,540,37.44897959183673,38,40,34,1.0398826836734694,0.9810135,1.447055,0.865451,183.5,0.020408163265306145,0.6610922146636432,0.9681484419411007
8,333.6736842105263,540,32.589473684210525,32,36,30,1.0067608,0.961897,1.347775,0.851682,206.8,0.052631578947368474,0.6179142300194931,0.9941834024040471
9,310.42857142857144,540,29.6734693877551,30,34,25,1.0009048775510203,0.962078,1.318084,0.869425,230.0612244897959,0.020408163265306145,0.5748677248677249,0.9993460611223653
10,286.51020408163265,540,24.336734693877553,26,30,17,1.0002503469387756,0.97186,1.472232,0.84883,253.9795918367347,0.020408163265306145,0.5305744520030234,1.0303248795022906
11,262.17171717171715,540,21.575757575757574,18,30,13,1.0305828181818182,1.00683,1.356007,0.840899,278.32323232323233,0.010101010101010055,0.4855031799476244,0.9808979520355546
12,237.64646464646464,540,15.717171717171718,14,26,10,1.0108965757575759,0.961151,1.443109,0.86201,302.8484848484849,0,0.4400860456416012,1.0112953436743686
13,213.69072164948454,540,9.597938144329897,10,14,5,1.022315,0.969721,1.343354,0.863514,326.7938144329897,0.04123711340206182,0.39572355861015657,1.0084366737691708
14,190.08247422680412,540,8.525773195876289,8,12,5,1.0309399381443298,0.968486,1.549314,0.847706,350.4020618556701,0.020618556701030966,0.35200458190148914,1.0006056865350734
15,166.875,540,6.875,7,8,5,1.0315643645833332,0.9523535000000001,1.724161,0.855326,373.6041666666667,0.05208333333333337,0.3090277777777778,1.024137040578101
16,143.6530612244898,540,4.653061224489796,5,6,3,1.0564632755102041,0.974675,1.584463,0.863048,396.83673469387753,0.020408163265306145,0.26602418745275885,0.9661494679841227
17,120.2,540,3.5157894736842104,3,6,3,1.0207014315789473,0.951773,1.816655,0.849891,420.2736842105263,0.052631578947368474,0.2225925925925926,1.0390458051731424
18,97.03061224489795,540,2.836734693877551,3,4,2,1.0605555408163265,0.976624,1.558186,0.841675,443.4591836734694,0.020408163265306145,0.17968631897203324,0.9731674513327597
19,73.07142857142857,540,0.826530612244898,1,2,0,1.0320981326530612,0.976567,1.454178,0.844873,467.4183673469388,0.020408163265306145,0.1353174603174603,0.9678339568326655
20,50.619565217391305,540,0,0,0,0,0.9988996195652174,0.9607844999999999,1.501039,0.857011,489.8369565217391,0.08695652173913049,0.09373993558776167,1.0342137994636453
21,28.802083333333332,540,0,0,0,0,1.0330757708333334,0.957218,1.684714,0.859917,511.6770833333333,0.04166666666666663,0.05333719135802469,0.9468147838850198
22,9.73015873015873,540,0,0,0,0,0.97813141269841275,0.942199,1.237345,0.872669,530.7460317460317,0.04761904761904767,0.018018812463256907,0.9702898687015453
23,1.3333333333333333,540,0,0,0,0,0.949071,0.937668,1.003129,0.906416,539.1666666666666,0,0.0024691358024691358,NA
